"","step","mean_vegetation_volume","max_bird","dispersal_distance","habitat_radius","count_turtles","mean_habitat_of_patches"
"98410",1000,2.4,9,1,1,1399.4,43.1893424036281
"99411",1000,2.6,9,1,1,1421,43.9215419501134
"100412",1000,2.8,9,1,1,1422.8,43.3083900226757
"101413",1000,3,9,1,1,1473.4,45.0034013605442
"102414",1000,3.2,9,1,1,1553.8,47.2832199546485
"103415",1000,3.4,9,1,1,1501.2,46.1274376417234
"104416",1000,3.6,9,1,1,1567.3,47.8151927437642
"105417",1000,3.8,9,1,1,1578.9,48.3927437641723
"106418",1000,4,9,1,1,1599.2,48.592970521542
"107419",1000,4.2,9,1,1,1612.1,49.1077097505669
"108420",1000,4.4,9,1,1,1679.8,51.1986394557823
"109421",1000,4.6,9,1,1,1684.5,51.0471655328798
"110422",1000,4.8,9,1,1,1719.5,51.9863945578231
"111423",1000,5,9,1,1,1712.7,52.0294784580499
"112424",1000,2,10,1,1,1462.6,40.4163265306122
"113425",1000,2.2,10,1,1,1579.3,42.6020408163265
"114426",1000,2.4,10,1,1,1606.5,43.5417233560091
"115427",1000,2.6,10,1,1,1619.5,44.2027210884354
"116428",1000,2.8,10,1,1,1697.8,45.5741496598639
"117429",1000,3,10,1,1,1738.1,46.8412698412698
"118430",1000,3.2,10,1,1,1749.5,47.184126984127
"119431",1000,3.4,10,1,1,1766.3,48.0596371882086
"120432",1000,3.6,10,1,1,1801.2,48.2947845804989
"121433",1000,3.8,10,1,1,1800.6,48.4451247165533
"122434",1000,4,10,1,1,1813.1,48.9657596371882
"123435",1000,4.2,10,1,1,1885.5,50.0215419501134
"124436",1000,4.4,10,1,1,1893.8,50.7963718820862
"125437",1000,4.6,10,1,1,1890.1,50.4136054421769
"126438",1000,4.8,10,1,1,1906.6,51.0736961451247
"127439",1000,5,10,1,1,1923.2,51.3503401360544
"128440",1000,2,11,1,1,1697.6,41.8612244897959
"129441",1000,2.2,11,1,1,1716,42.6714285714286
"130442",1000,2.4,11,1,1,1795.6,44.2301587301587
"131443",1000,2.6,11,1,1,1791.4,44.353514739229
"132444",1000,2.8,11,1,1,1824.6,44.8399092970522
"133445",1000,3,11,1,1,1897.1,46.5913832199547
"134446",1000,3.2,11,1,1,1867.9,45.962358276644
